,Unnamed: 0.1,Unnamed: 0,image_url,shown_price,model_year,car_title,msrp,city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,is_gas,is_electric,is_fuel_cell
0,0,0,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/4runner/base.png?bg=fff&fmt=webp&qlt=90&wid=345,55035.0,2025,4Runner,40770.0,16,standard sport utility vehicle,17,6,4.0,rwd,gas,19,toyota,4runner 2wd,a,1,0,0
1,1,1,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/4runnerhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,66900.0,2025,4Runner i-FORCE MAX,51990.0,16,standard sport utility vehicle,17,6,4.0,rwd,gas,19,toyota,4runner 2wd,a,1,1,0
2,2,2,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/bz4x/base.png?bg=fff&fmt=webp&qlt=90&wid=345,50385.0,2024,bZ4X,43070.0,114,small sport utility vehicle,104,-1,-1.0,awd,electric,94,toyota,bz4x,a,0,1,0
3,3,3,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/bz4x/base.png?bg=fff&fmt=webp&qlt=90&wid=345,41395.0,2025,bZ4X,37070.0,114,small sport utility vehicle,104,-1,-1.0,awd,electric,94,toyota,bz4x,a,0,1,0
4,4,4,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/camry/base.png?bg=fff&fmt=webp&qlt=90&wid=345,35825.0,2025,Camry,28700.0,22,midsize car,26,6,3.5,fwd,gas,33,toyota,camry,a,1,1,0
5,5,5,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/corolla/base.png?bg=fff&fmt=webp&qlt=90&wid=345,25490.0,2024,Corolla,22050.0,21,subcompact car,24,3,1.6,awd,gas,28,toyota,gr corolla,m,1,0,0
6,6,6,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corolla/base.png?bg=fff&fmt=webp&qlt=90&wid=345,27150.0,2025,Corolla,22325.0,21,subcompact car,24,3,1.6,awd,gas,28,toyota,gr corolla,m,1,0,0
7,7,7,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/corollacross/base.png?bg=fff&fmt=webp&qlt=90&wid=345,29385.0,2024,Corolla Cross,23860.0,31,small sport utility vehicle,32,4,2.0,fwd,gas,33,toyota,corolla cross,a,1,0,0
8,8,8,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollacross/base.png?bg=fff&fmt=webp&qlt=90&wid=345,28735.0,2025,Corolla Cross,24035.0,31,small sport utility vehicle,32,4,2.0,fwd,gas,33,toyota,corolla cross,a,1,0,0
9,9,9,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/corollacrosshybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,30965.0,2024,Corolla Cross Hybrid,28220.0,45,small sport utility vehicle,42,4,2.0,awd,gas,38,toyota,corolla cross hybrid awd,a,1,1,0
10,10,10,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollacrosshybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,32055.0,2025,Corolla Cross Hybrid,28395.0,45,small sport utility vehicle,42,4,2.0,awd,gas,38,toyota,corolla cross hybrid awd,a,1,1,0
11,11,11,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollahatchback/base.png?bg=fff&fmt=webp&qlt=90&wid=345,27080.0,2025,Corolla Hatchback,23780.0,32,compact car,35,4,2.0,fwd,gas,41,toyota,corolla hatchback,a,1,0,0
12,12,12,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/corollahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,28340.0,2024,Corolla Hybrid,23500.0,53,compact car,50,4,1.8,fwd,gas,46,toyota,corolla hybrid,a,1,1,0
13,13,13,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/corollahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,27665.0,2025,Corolla Hybrid,23825.0,53,compact car,50,4,1.8,fwd,gas,46,toyota,corolla hybrid,a,1,1,0
14,14,14,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grcorolla/base.png?bg=fff&fmt=webp&qlt=90&wid=345,47990.0,2025,GR Corolla,38860.0,21,subcompact car,24,3,1.6,awd,gas,28,toyota,gr corolla,m,1,0,0
15,15,15,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grsupra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,61020.0,2025,GR Supra,56250.0,25,two seater,27,4,2.0,rwd,gas,31,toyota,gr supra,a,1,0,0
16,16,16,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/gr86/base.png?bg=fff&fmt=webp&qlt=90&wid=345,35270.0,2025,GR86,31895.0,20,subcompact car,22,4,2.4,rwd,gas,27,toyota,gr86,m,1,0,0
17,17,17,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/grandhighlander/base.png?bg=fff&fmt=webp&qlt=90&wid=345,54220.0,2024,Grand Highlander,43320.0,37,standard sport utility vehicle,36,4,2.5,fwd,gas,34,toyota,grand highlander hybrid,a,1,0,0
18,18,18,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grandhighlander/base.png?bg=fff&fmt=webp&qlt=90&wid=345,54520.0,2025,Grand Highlander,43630.0,37,standard sport utility vehicle,36,4,2.5,fwd,gas,34,toyota,grand highlander hybrid,a,1,0,0
19,19,19,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/grandhighlanderhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,58475.0,2024,Grand Highlander Hybrid,45020.0,37,standard sport utility vehicle,36,4,2.5,fwd,gas,34,toyota,grand highlander hybrid,a,1,1,0
20,20,20,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/grandhighlanderhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,52610.0,2025,Grand Highlander Hybrid,45380.0,37,standard sport utility vehicle,36,4,2.5,fwd,gas,34,toyota,grand highlander hybrid,a,1,1,0
21,21,21,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/highlander/base.png?bg=fff&fmt=webp&qlt=90&wid=345,46815.0,2025,Highlander,39520.0,37,standard sport utility vehicle,36,4,2.5,fwd,gas,34,toyota,grand highlander hybrid,a,1,0,0
22,22,22,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/highlanderhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,52680.0,2025,Highlander Hybrid,46020.0,37,standard sport utility vehicle,36,4,2.5,fwd,gas,34,toyota,grand highlander hybrid,a,1,1,0
23,23,23,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/landcruiser/base.png?bg=fff&fmt=webp&qlt=90&wid=345,62300.0,2024,Land Cruiser,55950.0,22,standard sport utility vehicle,23,4,2.4,4wd,gas,25,toyota,land cruiser,a,1,1,0
24,24,24,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/landcruiser/base.png?bg=fff&fmt=webp&qlt=90&wid=345,61820.0,2025,Land Cruiser,56700.0,22,standard sport utility vehicle,23,4,2.4,4wd,gas,25,toyota,land cruiser,a,1,1,0
25,25,25,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/mirai/base.png?bg=fff&fmt=webp&qlt=90&wid=345,67540.0,2024,Mirai,50190.0,67,midsize car,76,0,0.0,fwd,hydrogen fuel cell,86,toyota,mirai,a,1,0,0
26,26,26,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/prius/base.png?bg=fff&fmt=webp&qlt=90&wid=345,36365.0,2024,Prius,27950.0,57,midsize car,57,4,2.0,fwd,gas,56,toyota,prius,a,1,1,0
27,27,27,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/prius/base.png?bg=fff&fmt=webp&qlt=90&wid=345,36765.0,2025,Prius,28350.0,57,midsize car,57,4,2.0,fwd,gas,56,toyota,prius,a,1,1,0
28,28,28,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/priusprime/base.png?bg=fff&fmt=webp&qlt=90&wid=345,39670.0,2024,Prius Prime,32975.0,50,midsize car,48,4,2.0,fwd,gas,47,toyota,prius prime,a,1,1,0
29,29,29,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/priuspluginhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,40070.0,2025,Prius Plug-in Hybrid,33375.0,50,midsize car,48,4,2.0,fwd,gas,47,toyota,prius prime,a,1,1,0
30,30,30,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/rav4/base.png?bg=fff&fmt=webp&qlt=90&wid=345,39950.0,2024,RAV4,28675.0,27,small sport utility vehicle,30,4,2.5,fwd,gas,35,toyota,rav4,a,1,0,0
31,31,31,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/rav4hybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,34945.0,2024,RAV4 Hybrid,31725.0,38,small sport utility vehicle,37,4,2.5,awd,gas,35,toyota,rav4 hybrid awd woodland edition,a,1,1,0
32,32,32,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4/base.png?bg=fff&fmt=webp&qlt=90&wid=345,37155.0,2025,RAV4,28850.0,27,small sport utility vehicle,30,4,2.5,fwd,gas,35,toyota,rav4,a,1,0,0
33,33,33,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4hybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,35120.0,2025,RAV4 Hybrid,31900.0,38,small sport utility vehicle,37,4,2.5,awd,gas,35,toyota,rav4 hybrid awd woodland edition,a,1,1,0
34,34,34,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4pluginhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,51170.0,2025,RAV4 Plug-in Hybrid,43865.0,38,small sport utility vehicle,37,4,2.5,awd,gas,35,toyota,rav4 hybrid awd woodland edition,a,1,1,0
35,35,35,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/sequoia/base.png?bg=fff&fmt=webp&qlt=90&wid=345,80860.0,2025,Sequoia,62425.0,21,standard sport utility vehicle,22,6,3.4,rwd,gas,24,toyota,sequoia 2wd,a,1,1,0
36,36,36,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/sienna/base.png?bg=fff&fmt=webp&qlt=90&wid=345,47115.0,2025,Sienna,39185.0,36,minivan,36,4,2.5,fwd,gas,36,toyota,sienna 2wd,a,1,1,0
37,37,37,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tacoma/base.png?bg=fff&fmt=webp&qlt=90&wid=345,43325.0,2024,Tacoma,31500.0,20,small pickup truck,22,4,2.4,rwd,gas,24,toyota,tacoma sr5/sport/prerunner 2wd,a,1,0,0
38,38,38,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tacoma/base.png?bg=fff&fmt=webp&qlt=90&wid=345,42900.0,2025,Tacoma,31590.0,20,small pickup truck,22,4,2.4,rwd,gas,24,toyota,tacoma sr5/sport/prerunner 2wd,a,1,0,0
39,39,39,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tacomahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,64900.0,2024,Tacoma i-FORCE MAX,46300.0,20,small pickup trucks,22,4,2.4,4wd,hybrid,24,toyota,tacoma,a,1,1,0
40,40,40,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tacomahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,63735.0,2025,Tacoma i-FORCE MAX,46320.0,20,small pickup trucks,22,4,2.4,4wd,hybrid,24,toyota,tacoma,a,1,1,0
41,41,41,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/toyotacrown/base.png?bg=fff&fmt=webp&qlt=90&wid=345,45950.0,2025,Toyota Crown,41440.0,29,midsize car,32,4,2.4,awd,hybrid,34,toyota,crown,a,1,1,0
42,42,42,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/toyotacrownsignia/base.png?bg=fff&fmt=webp&qlt=90&wid=345,47990.0,2025,Toyota Crown Signia,43590.0,28,midsize car,31,4,2.4,awd,hybrid,33,toyota,crown signia,a,1,1,0
43,43,43,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tundra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,56905.0,2024,Tundra,39965.0,18,standard pickup truck,20,6,3.4,rwd,gas,23,toyota,tundra 2wd,a,1,0,0
44,44,44,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tundra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,48010.0,2025,Tundra,40090.0,18,standard pickup truck,20,6,3.4,rwd,gas,23,toyota,tundra 2wd,a,1,0,0
45,45,45,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tundrahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,79270.0,2024,Tundra i-FORCE MAX,57625.0,19,standard pickup trucks,21,6,3.4,4wd,hybrid,22,toyota,tundra,a,1,1,0
46,46,46,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tundrahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,72510.0,2025,Tundra i-FORCE MAX,58005.0,19,standard pickup trucks,21,6,3.4,4wd,hybrid,22,toyota,tundra,a,1,1,0
47,47,47,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/venza/base.png?bg=fff&fmt=webp&qlt=90&wid=345,40405.0,2024,Venza,35070.0,40,small sport utility vehicle,39,4,2.5,awd,gas,37,toyota,venza awd,a,1,1,0
